品类,型号,库位,数量
1,1,110009251,70.0
1,EYBW152266BKU1,上海,423.0
2,2,110013532,69.0
2,K100M50,上海,1.0
3,3,110008908,59.0
3,K100M50,上海,1.0
4,4,110009461,121.0
4,HGS100578,上海,38.0
5,5,110009459,67.0
5,G100578HBD14LS,上海,30.0
6,6,110009251,26.0
6,HGY100F98U1,上海,30.0
7,7,110009461,99.0
7,CZ B10LWS10YTALCU1,上海,30.0
8,8,110013532,4.0
8,HGS100578,上海,22.0
9,9,110009461,678.0
9,G100578BD14LS,上海,100.0
10,10,110009459,276.0
10,XQG100-BD14576LU1,上海,10.0
11,11,110009462,629.0
11,G10098BD14LSU1,上海,30.0
12,12,110009251,808.0
12,XQG100-BLEU78A7WU1,上海,10.0
13,13,110008908,352.0
13,CE B10LWDUBHKU1,上海,45.0
14,BCD-540WGCTDM7WHU1,上海,10.0
15,15,110009251,1.0
15,BCD-601WGCTDA4DLU1,上海,20.0
16,G100578BD14LS,上海,52.0
17,XQG100-BLEU78A7U1,上海,50.0
18,CE B10LWDBHAU1,上海,114.0
19,19,110009251,54.0
19,CG S10YTFBHAU1,上海,120.0
20,20,110008908,40.0
20,BCD-550WGCFDM4WHU1,上海,170.0
21,21,110009462,1.0
21,BCD-600WGCFDM4DBU1,上海,20.0
22,CE AB13LWTBHKU1,上海,41.0
23,CS HB22LWTLBU1,上海,2.0
24,24,110009461,1.0
24,BCD-450WGCFDM4WNU1,上海,14.0
25,25,118064015,9.0
25,BCD-570WGCFDM4ZHU1,上海,70.0
26,26,110009462,16.0
26,BCD-515WGHFD1BY6U1,上海,39.0
27,27,110009461,4.0
27,BCD-533WGCFDAGESU1,上海,8.0
28,28,110008908,1.0
28,BCD-509WGHTD1BY6U1,上海,10.0
29,BCD-600WGCFDM4DBU1,上海,18.0
30,30,110008908,7.0
30,K85M30,上海,2.0
31,31,118064015,5.0
31,BCD-515WGHSSB5GSU1,上海,10.0
32,32,110009462,2.0
32,KFRd-120LW/5YAF82,上海,50.0
33,33,110008908,6.0
33,BCD-518WGHTD1BGNU1,上海,5.0
34,34,110008908,9.0
34,RFC100MXSA1VA,上海,10.0
35,35,110008908,1.0
35,KFRd-120LW/5YAF82,上海,50.0
36,KFRd-120LW/5YAF82,上海,50.0
37,37,110008908,14.0
37,MS100-BZ578H,上海,5.0
38,38,110008908,1.0
38,BCD-413WGHFD1BSJU1,上海,25.0
39,39,110008908,5.0
39,GA100-BT87WU1,上海,5.0
40,40,110009461,2.0
40,GA100-STF78A7U1,上海,10.0
41,41,110008908,5.0
