规格名称,仓库类型,合计数量,到仓位数量
60亚式晶钻黛门体,常规仓,1.0,1.0
60亚式暗把手博卡灰玻璃门体,常规仓,3.0,3.0
@B80M958,常规仓,1.0,1.0
@G10B22SE,常规仓,1.0,1.0
AA1P5300A,云仓,18.0,18.0
AA1P5X004,云仓,6.0,6.0
AA1PEN001,云仓,1.0,1.0
AA1PEP001,云仓,2.0,2.0
AA1PL1002,云仓,1.0,1.0
AA1PL3002,云仓,1.0,1.0
AA1PL5003,云仓,94.0,94.0
AA1PLG002,云仓,1.0,1.0
AA1PLL002,云仓,39.0,39.0
AA1PLV002,云仓,37.0,37.0
AA8MWA000,云仓,1.0,1.0
AA8MXF000,云仓,1.0,1.0
AA99WEM00,云仓,1.0,1.0
AA9HWP000,云仓,7.0,7.0
AA9HWQ000,云仓,1.0,1.0
AA9HWR000,云仓,1.0,1.0
AA9HWU000,云仓,7.0,7.0
AAABT600P,云仓,18.0,18.0
AAABTE00E,云仓,6.0,6.0
AAC3PL000,云仓,3.0,3.0
AAC3PP000,云仓,1.0,1.0
AAC5U0000,云仓,4.0,4.0
AAC6F2000,云仓,16.0,16.0
AAC6G4000,云仓,88.0,88.0
AAC7C1000,云仓,4.0,4.0
AAC7C5000,云仓,2.0,2.0
AAC7H3001,云仓,603.0,603.0
AAC815000,云仓,16.0,16.0
AAC823000,云仓,6.0,6.0
AAC825000,云仓,16.0,16.0
AAC860000,云仓,6.0,6.0
AAC8C0000,云仓,6.0,6.0
AAC901000,云仓,5.0,5.0
AAC90G000,云仓,4.0,4.0
AAC90N000,云仓,591.0,591.0
AAC920000,云仓,150.0,150.0
AAC951000,云仓,2.0,2.0
AACFT0000,云仓,603.0,603.0
AACFT2000,云仓,581.0,581.0
AACG80000,云仓,70.0,70.0
AACGP0000,云仓,5.0,5.0
AACGP4000,云仓,591.0,591.0
AACHZ4000,云仓,2.0,2.0
AACKY1000,云仓,4.0,4.0
AACLQ1000,云仓,1.0,1.0
AACLR1000,云仓,1.0,1.0
AACQD4000,云仓,2.0,2.0
AACQE1000,云仓,3.0,3.0
AACQN1000,云仓,96.0,96.0
AACQPA000,云仓,96.0,96.0
AACXGH000,云仓,2.0,2.0
AACXMK000,云仓,581.0,581.0
AACYH1000,云仓,1.0,1.0
AACZT0000,云仓,1.0,1.0
AACZU0000,云仓,80.0,80.0
AACZU6000,云仓,192.0,192.0
AACZZ0000,云仓,1.0,1.0
AAD000000,云仓,80.0,80.0
AAD001000,云仓,192.0,192.0
AAD890000,云仓,3.0,3.0
AB91SE004,云仓,39.0,39.0
AB9291001,云仓,1.0,1.0
AB929F001,云仓,1.0,1.0
AB929G000,云仓,1.0,1.0
AB929H004,云仓,37.0,37.0
AB92B0000,云仓,1.0,1.0
AB92B1000,云仓,1.0,1.0
AB9552000,云仓,1.0,1.0
AB96H0000,云仓,150.0,150.0
AB96YA000,云仓,94.0,94.0
AB98E2000,云仓,1.0,1.0
AB98P0000,云仓,88.0,88.0
AB98PN000,云仓,70.0,70.0
AB98Q0000,云仓,16.0,16.0
B00XY5000,云仓,3.0,3.0
B30M71000,云仓,2.0,2.0
BA-E7Plus,常规仓,1.0,1.0
BB0VP0000,云仓,4.0,4.0
BC-285W/BD-265WD7U1DOOR(DZ),常规仓,1.0,1.0
BC-93LTMPA,常规仓,33.0,33.0
BC/BD-100HER,常规仓,1.0,1.0
BC/BD-142GHEPS9,金融仓,10.0,10.0
BC/BD-142GHPCZ,常规仓,1.0,1.0
BC/BD-142HER,常规仓,119.0,119.0
BC/BD-146D,常规仓,3.0,3.0
BC/BD-180WEGU1,常规仓,24.0,24.0
BC/BD-200GHEPG,常规仓,6.0,6.0
BC/BD-200GHEPS9,金融仓,14.0,14.0
BC/BD-200GHPCZ,常规仓,13.0,13.0
BC/BD-200GHZ,常规仓,1.0,1.0
BC/BD-241WGHESM,常规仓,1.0,1.0
BC/BD-295GHZ,顺丰仓,1.0,1.0
BC/BD-429HCM,常规仓,42.0,42.0
BC/BD-519HEM,常规仓,22.0,22.0
BC/BD-629HEZ,常规仓,5.0,5.0
BC10WE000,云仓,66.0,66.0
BC1148000,云仓,1.0,1.0
BC115U000,云仓,2.0,2.0
BC1166000,云仓,153.0,153.0
BC12N6000,云仓,1.0,1.0
BC12P5000,云仓,4.0,4.0
BCD-123GHTMZ0WV,常规仓,1.0,1.0
BCD-180TMPS,常规仓,1.0,1.0
BCD-190WLDPC,常规仓,10.0,10.0
BCD-215STPD,常规仓,2.0,2.0
BCD-251WBIU1,常规仓,6.0,6.0
BCD-277WGCC2B6W9U1,常规仓,1.0,1.0
BCD-342WLLFDEDW9U1,常规仓,2.0,2.0
BCD-351WLHD3E7SFU1,常规仓,26.0,1.0
BCD-351WLHD3E7SFU1,金融仓,26.0,25.0
BCD-400WLCD3M4G3U1,金融仓,2.0,2.0
BCD-400WLCI38FVAU1,金融仓,35.0,35.0
BCD-400WLCI3M4WKU1,常规仓,5.0,1.0
BCD-400WLCI3M4WKU1,金融仓,5.0,4.0
BCD-405WLDPCU1,常规仓,1.0,1.0
BCD-406WLHD314ASU1,常规仓,7.0,7.0
BCD-406WLHTDEDB9,常规仓,4.0,3.0
BCD-406WLHTDEDB9,顺丰仓,4.0,1.0
BCD-413WGHFD1BSJU1,常规仓,31.0,1.0
BCD-413WGHFD1BSJU1,金融仓,31.0,30.0
BCD-420WDCPU1,常规仓,12.0,12.0
BCD-420WDCSU1,常规仓,3.0,3.0
BCD-450WGCFDM4WNU1,金融仓,14.0,14.0
BCD-460WGHTD14S9U1,常规仓,1.0,1.0
BCD-461WGHFD14WYU1,常规仓,1.0,1.0
BCD-462WGHFD15BJU1,常规仓,1.0,1.0
BCD-463WGLFD45Y9U1,常规仓,4.0,4.0
BCD-469WGHTDEDY1,常规仓,1.0,1.0
BCD-470WGHTD5VG1U1,常规仓,1.0,1.0
BCD-472WGHTDB9SJU1,金融仓,3.0,3.0
BCD-477WLLSSD0S9U1,常规仓,1.0,1.0
BCD-485WGHFDB9GSU1,常规仓,2.0,2.0
BCD-500WLCFD8FVAU1,常规仓,24.0,24.0
BCD-500WLCFD8FW1U1,常规仓,7.0,7.0
BCD-501WGCTDM4WKU1,金融仓,33.0,33.0
BCD-501WLHTD58B9U1,常规仓,9.0,9.0
BCD-502WGHFD14SJU1,常规仓,1.0,1.0
BCD-502WLLTD5DM2U1,常规仓,1.0,1.0
BCD-503WGHFD14WWU1,常规仓,6.0,1.0
BCD-503WGHFD14WWU1,金融仓,6.0,5.0
BCD-505WGCFDA4ARU1,金融仓,6.0,6.0
BCD-505WGCFDA4YBU1,常规仓,1.0,1.0
BCD-506WGHTD14WWU1,常规仓,1.0,1.0
BCD-506WGHTD14WYU1,常规仓,1.0,1.0
BCD-507WGCTDM4GJU1,金融仓,5.0,5.0
BCD-509WGHFD7DS9U1,常规仓,32.0,1.0
BCD-509WGHFD7DS9U1,顺丰仓,32.0,31.0
BCD-509WGHTD1BY6U1,金融仓,10.0,10.0
BCD-512WGHMD1BY6U1,金融仓,4.0,4.0
BCD-515WGHFD1BY5U1,常规仓,1.0,1.0
BCD-515WGHFD1BY6U1,金融仓,14.0,14.0
BCD-515WGHSSB5GSU1,金融仓,5.0,5.0
BCD-518WGHFD2BGCU1,金融仓,8.0,8.0
BCD-518WGHTD1BGNU1,金融仓,3.0,3.0
BCD-520WGCFDM4G6U1,金融仓,20.0,20.0
BCD-520WGCTDM4CNU1,金融仓,5.0,5.0
BCD-520WLCFPAFDRU1,常规仓,1.0,1.0
BCD-520WLCFPAFVAU1,常规仓,1.0,1.0
BCD-520WLCFPM4WKU1,常规仓,1.0,1.0
BCD-533WGCFDAGESU1,金融仓,13.0,13.0
BCD-539WGLSSEDW9U1,常规仓,1.0,1.0
BCD-540WGCTDM7WHU1,常规仓,52.0,2.0
BCD-540WGCTDM7WHU1,金融仓,52.0,50.0
BCD-540WGCTDM7WHU1(棕),金融仓,20.0,20.0
BCD-550WGCFDM4S5U1,常规仓,16.0,3.0
BCD-550WGCFDM4S5U1,金融仓,16.0,13.0
BCD-550WGCFDM4WHU1,金融仓,220.0,220.0
BCD-550WGCFDM4WHU1(棕),常规仓,6.0,1.0
BCD-550WGCFDM4WHU1(棕),金融仓,6.0,5.0
BCD-550WLCFPA4W5U1,金融仓,35.0,35.0
BCD-550WLCFPA4WFU1,常规仓,11.0,2.0
BCD-550WLCFPA4WFU1,金融仓,11.0,9.0
BCD-550WLCFPA4ZFU1,金融仓,1.0,1.0
BCD-551WLCTDAFA5U1,常规仓,2.0,2.0
BCD-552WLCTDA4SCU1(Pro),金融仓,3.0,3.0
BCD-553WGHFD14SGU1,常规仓,1.0,1.0
BCD-570WGCFDM4ZHU1,金融仓,63.0,63.0
BCD-600WGCFDM4DBU1,常规仓,28.0,1.0
BCD-600WGCFDM4DBU1,金融仓,28.0,27.0
BCD-601WGCTDA4DLU1,金融仓,41.0,41.0
BCD-610WLCTDAGSCU1(Pro),金融仓,3.0,3.0
BCD-620WGHSSEDWV,常规仓,36.0,36.0
BCD-623WLHTD2BGWU1,金融仓,44.0,44.0
BCD-625WLHTD2BB6U1,金融仓,2.0,2.0
BCD-633WDCHU1,常规仓,2.0,2.0
BCD-633WLCFDA4ARU1,金融仓,10.0,10.0
BCD-633WLCFDMFVAU1,常规仓,3.0,3.0
BCD-647WLCTD79DYU1,常规仓,1.0,1.0
BCD-650WGCTDM7S3U1,常规仓,1.0,1.0
BCD-88GHTMZ0WV,顺丰仓,102.0,102.0
BD-138W,常规仓,25.0,25.0
BD-150LH9EP9,常规仓,55.0,55.0
BD-152WGHS9B8,常规仓,92.0,92.0
BD-180WGHSF,常规仓,1.0,1.0
BD-192WEGL,常规仓,4.0,4.0
BD-210WGHS9,金融仓,3.0,3.0
